load_id,origin_city,origin_state,origin_latitude,origin_longitude,destination_city,destination_state,destination_latitude,destination_longitude,amount,pickup_date_time
434057843,Muncy,PA,41.205628,-76.78551899999998,Baltimore,MD,39.297668,-76.61759999999998,981,2022-03-02 19:00:00
434076692,GRIFTON,NC,35.37266159057617,-77.43746948242188,MILLERSBURG,PA,40.539527893066406,-76.9608154296875,1688,2022-03-04 12:00:00
434077295,HARTFORD,CT,41.76675415039063,-72.67298126220702,BRAINTREE,MA,42.21994018554688,-70.99592590332031,721,2022-03-02 12:00:00
434077563,Muncy,PA,41.199614,-76.786403,Baltimore,MD,39.270522,-76.626796,982,2022-03-02 18:00:00
434077674,PLYMOUTH,NC,35.861656188964844,-76.74725341796875,ALLENSVILLE,PA,40.53590393066406,-77.81694030761719,1663,2022-03-04 08:00:00
434082923,Vancouver,WA,45.636473,-122.672141,Alliance,OH,40.901821,-81.114288,1501,2022-03-02 18:00:00
434082924,Orting,WA,47.099993,-122.20692,Alliance,OH,40.901821,-81.114288,1496,2022-03-02 11:00:00
434087736,LAKE CHARLES,LA,30.227726,-93.214423,BLUE RIDGE,GA,34.862883,-84.32147299999998,2097,2022-03-03 11:00:00
434093021,ennis,TX,32.33139,-96.621557,chattanooga,TN,35.045682,-85.310027,1611,2022-03-01 11:00:00
434093038,ennis,TX,32.33139,-96.621557,purvis,MS,31.142412,-89.403474,1054,2022-03-01 12:00:00
434102979,grand rapids,MI,42.965068,-85.672302,mcdonough,GA,33.448221,-84.146842,3117,2022-02-28 12:00:00
434102982,GRIFTON,NC,35.37266159057617,-77.43746948242188,COATESVILLE,PA,39.98065185546875,-75.8301239013672,1484,2022-03-03 11:00:00
434103002,PLYMOUTH,NC,35.861656188964844,-76.74725341796875,WASHINGTON,GA,33.73679351806641,-82.73931121826173,1185,2022-03-03 11:00:00
